gutən   |   gut
nəhán   |   nəh
naan    |   nəh

xandən  |   xand
kudən   |   kud
giftən  |   gift

deen    |   de
zeen    |   ze
rəsen   |   rase
iškənen |   iškəne   
isan    |   isa

kəšen   |   kəše
rəsen   |   rəse
tərsen  |   tərse
vavərsen|   vavərse

bərdən  |   bərd
avərdən |   avərd
murdən  |   murd
mərdən  |   mərd

kəftən  |   kəft
iškəftən|   iškəft
kuštən  |   kušt

danəstən    |   danəst
gərdəstən   |   gərdəst
fanderəstən |   fanderəst
futurkəstən |   futurkəst

tavədan | tavəda

virištən | virišt
nivištən | nivišt
daštən | dašt
guzəštən | guzəšt
šostən | šost
xastən | xast
dəbəstən | dəbəst
šənaxtən | šənaxt
soxtən | soxt
giftən | gift
xuftən | xuft
deen | de
zeen | ze
heen | he
vaven | vave
kudən | kud
duxadən | duxad
daan | da
naan | na
šoon | šo
amon | amo
goftən | goft
guftən | goft
tərsen | tarse
tarsen | tarse
fahmanen | fahmane
