kəš     | kəše
rəs     | rəse
tərs    | tərse
vavərs  | vavərse
fahman | fahmane

bər    | bərd
avər   | avərd
xan    | xand

mir    | murd
mir    | mərd

kəf    | kəft
iškəf  | iškəft
kuš    | kušt

dan    | danəst
gərd   | gərdəst
fander | fanderəst
futurk | futurkəst

is    | isa
tavəd | tavəda

viriz | virišt
nivis | nivišt

dar   | dašt
guzər | guzəšt

šor   | šost
xay   | xast
dəbəd | dəbəst
šənas | šənaxt
soǰ   | soxt
gir   | gift
xus   | xuft

din   | de
zən   | ze
hin   | he
vavin | vave

kun   | kud
duxan | duxad

deh | da
dih | da
d   | da
nəh | na

šu  | šo
a   | amo
gu  | goft
